,genres,norm_per_year,production_companies,total_films,year
7491,Music,0.0,Walt Disney Pictures,0,1966
7493,Music,0.0,Warner Bros.,0,1966
7442,Romance,0.0,Columbia Pictures,0,1966
7446,Romance,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7445,Romance,0.0,New Line Cinema,0,1966
7444,Romance,0.0,Paramount Pictures,0,1966
7448,Romance,0.0,Relativity Media,0,1966
7449,Romance,0.0,Touchstone Pictures,0,1966
7440,Romance,0.0,Twentieth Century Fox Film Corporation,0,1966
7447,Romance,0.0,Universal Pictures,0,1966
7441,Romance,0.0,Walt Disney Pictures,0,1966
7443,Romance,0.0,Warner Bros.,0,1966
7382,Science Fiction,0.0,Columbia Pictures,0,1966
7386,Science Fiction,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7385,Science Fiction,0.0,New Line Cinema,0,1966
7384,Science Fiction,0.0,Paramount Pictures,0,1966
7388,Science Fiction,0.0,Relativity Media,0,1966
7389,Science Fiction,0.0,Touchstone Pictures,0,1966
4,Science Fiction,1.0,Twentieth Century Fox Film Corporation,1,1966
7387,Science Fiction,0.0,Universal Pictures,0,1966
7381,Science Fiction,0.0,Walt Disney Pictures,0,1966
7383,Science Fiction,0.0,Warner Bros.,0,1966
7412,Thriller,0.0,Columbia Pictures,0,1966
7416,Thriller,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7415,Thriller,0.0,New Line Cinema,0,1966
7414,Thriller,0.0,Paramount Pictures,0,1966
7418,Thriller,0.0,Relativity Media,0,1966
7419,Thriller,0.0,Touchstone Pictures,0,1966
7410,Thriller,0.0,Twentieth Century Fox Film Corporation,0,1966
5,Thriller,0.5,Universal Pictures,1,1966
7411,Thriller,0.0,Walt Disney Pictures,0,1966
9,Thriller,0.5,Warner Bros.,1,1966
7482,War,0.0,Columbia Pictures,0,1966
7486,War,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7485,War,0.0,New Line Cinema,0,1966
7484,War,0.0,Paramount Pictures,0,1966
7488,War,0.0,Relativity Media,0,1966
7489,War,0.0,Touchstone Pictures,0,1966
7480,War,0.0,Twentieth Century Fox Film Corporation,0,1966
7487,War,0.0,Universal Pictures,0,1966
7481,War,0.0,Walt Disney Pictures,0,1966
7483,War,0.0,Warner Bros.,0,1966
7432,Western,0.0,Columbia Pictures,0,1966
7436,Western,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7435,Western,0.0,New Line Cinema,0,1966
7434,Western,0.0,Paramount Pictures,0,1966
7438,Western,0.0,Relativity Media,0,1966
7439,Western,0.0,Touchstone Pictures,0,1966
7430,Western,0.0,Twentieth Century Fox Film Corporation,0,1966
7437,Western,0.0,Universal Pictures,0,1966
7431,Western,0.0,Walt Disney Pictures,0,1966
7433,Western,0.0,Warner Bros.,0,1966
7502,Action,0.0,Columbia Pictures,0,1967
10,Action,1.0,Metro-Goldwyn-Mayer (MGM),1,1967
7505,Action,0.0,New Line Cinema,0,1967
7504,Action,0.0,Paramount Pictures,0,1967
7508,Action,0.0,Relativity Media,0,1967
7509,Action,0.0,Touchstone Pictures,0,1967
7500,Action,0.0,Twentieth Century Fox Film Corporation,0,1967
7507,Action,0.0,Universal Pictures,0,1967
7501,Action,0.0,Walt Disney Pictures,0,1967
7503,Action,0.0,Warner Bros.,0,1967
7512,Adventure,0.0,Columbia Pictures,0,1967
7516,Adventure,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7515,Adventure,0.0,New Line Cinema,0,1967
7514,Adventure,0.0,Paramount Pictures,0,1967
7518,Adventure,0.0,Relativity Media,0,1967
7519,Adventure,0.0,Touchstone Pictures,0,1967
7510,Adventure,0.0,Twentieth Century Fox Film Corporation,0,1967
7517,Adventure,0.0,Universal Pictures,0,1967
7511,Adventure,0.0,Walt Disney Pictures,0,1967
7513,Adventure,0.0,Warner Bros.,0,1967
7602,Comedy,0.0,Columbia Pictures,0,1967
7606,Comedy,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7605,Comedy,0.0,New Line Cinema,0,1967
7604,Comedy,0.0,Paramount Pictures,0,1967
7608,Comedy,0.0,Relativity Media,0,1967
7609,Comedy,0.0,Touchstone Pictures,0,1967
7600,Comedy,0.0,Twentieth Century Fox Film Corporation,0,1967
7607,Comedy,0.0,Universal Pictures,0,1967
7601,Comedy,0.0,Walt Disney Pictures,0,1967
7603,Comedy,0.0,Warner Bros.,0,1967
7542,Crime,0.0,Columbia Pictures,0,1967
11,Crime,1.0,Metro-Goldwyn-Mayer (MGM),1,1967
7545,Crime,0.0,New Line Cinema,0,1967
7544,Crime,0.0,Paramount Pictures,0,1967
7548,Crime,0.0,Relativity Media,0,1967
7549,Crime,0.0,Touchstone Pictures,0,1967
7540,Crime,0.0,Twentieth Century Fox Film Corporation,0,1967
7547,Crime,0.0,Universal Pictures,0,1967
7541,Crime,0.0,Walt Disney Pictures,0,1967
7543,Crime,0.0,Warner Bros.,0,1967
7552,Drama,0.0,Columbia Pictures,0,1967
12,Drama,1.0,Metro-Goldwyn-Mayer (MGM),1,1967
7555,Drama,0.0,New Line Cinema,0,1967
7554,Drama,0.0,Paramount Pictures,0,1967
7558,Drama,0.0,Relativity Media,0,1967
7559,Drama,0.0,Touchstone Pictures,0,1967
7550,Drama,0.0,Twentieth Century Fox Film Corporation,0,1967
7557,Drama,0.0,Universal Pictures,0,1967
7551,Drama,0.0,Walt Disney Pictures,0,1967
7553,Drama,0.0,Warner Bros.,0,1967
7572,Family,0.0,Columbia Pictures,0,1967
7576,Family,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7575,Family,0.0,New Line Cinema,0,1967
7574,Family,0.0,Paramount Pictures,0,1967
7578,Family,0.0,Relativity Media,0,1967
7579,Family,0.0,Touchstone Pictures,0,1967
7570,Family,0.0,Twentieth Century Fox Film Corporation,0,1967
7577,Family,0.0,Universal Pictures,0,1967
7571,Family,0.0,Walt Disney Pictures,0,1967
7573,Family,0.0,Warner Bros.,0,1967
7522,Fantasy,0.0,Columbia Pictures,0,1967
7526,Fantasy,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7525,Fantasy,0.0,New Line Cinema,0,1967
7524,Fantasy,0.0,Paramount Pictures,0,1967
7528,Fantasy,0.0,Relativity Media,0,1967
7529,Fantasy,0.0,Touchstone Pictures,0,1967
7520,Fantasy,0.0,Twentieth Century Fox Film Corporation,0,1967
7527,Fantasy,0.0,Universal Pictures,0,1967
7521,Fantasy,0.0,Walt Disney Pictures,0,1967
7523,Fantasy,0.0,Warner Bros.,0,1967
7622,History,0.0,Columbia Pictures,0,1967
7626,History,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7625,History,0.0,New Line Cinema,0,1967
7624,History,0.0,Paramount Pictures,0,1967
7628,History,0.0,Relativity Media,0,1967
7629,History,0.0,Touchstone Pictures,0,1967
7620,History,0.0,Twentieth Century Fox Film Corporation,0,1967
7627,History,0.0,Universal Pictures,0,1967
7621,History,0.0,Walt Disney Pictures,0,1967
7623,History,0.0,Warner Bros.,0,1967
7612,Horror,0.0,Columbia Pictures,0,1967
7616,Horror,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7615,Horror,0.0,New Line Cinema,0,1967
7614,Horror,0.0,Paramount Pictures,0,1967
7618,Horror,0.0,Relativity Media,0,1967
7619,Horror,0.0,Touchstone Pictures,0,1967
7610,Horror,0.0,Twentieth Century Fox Film Corporation,0,1967
7617,Horror,0.0,Universal Pictures,0,1967
7611,Horror,0.0,Walt Disney Pictures,0,1967
7613,Horror,0.0,Warner Bros.,0,1967
7642,Music,0.0,Columbia Pictures,0,1967
7646,Music,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7645,Music,0.0,New Line Cinema,0,1967
7644,Music,0.0,Paramount Pictures,0,1967
7648,Music,0.0,Relativity Media,0,1967
7649,Music,0.0,Touchstone Pictures,0,1967
7640,Music,0.0,Twentieth Century Fox Film Corporation,0,1967
7647,Music,0.0,Universal Pictures,0,1967
7641,Music,0.0,Walt Disney Pictures,0,1967
7643,Music,0.0,Warner Bros.,0,1967
7592,Romance,0.0,Columbia Pictures,0,1967
7596,Romance,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7595,Romance,0.0,New Line Cinema,0,1967
7594,Romance,0.0,Paramount Pictures,0,1967
7598,Romance,0.0,Relativity Media,0,1967
7599,Romance,0.0,Touchstone Pictures,0,1967
7590,Romance,0.0,Twentieth Century Fox Film Corporation,0,1967
7597,Romance,0.0,Universal Pictures,0,1967
7591,Romance,0.0,Walt Disney Pictures,0,1967
7593,Romance,0.0,Warner Bros.,0,1967
7532,Science Fiction,0.0,Columbia Pictures,0,1967
7536,Science Fiction,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7535,Science Fiction,0.0,New Line Cinema,0,1967
7534,Science Fiction,0.0,Paramount Pictures,0,1967
7538,Science Fiction,0.0,Relativity Media,0,1967
7539,Science Fiction,0.0,Touchstone Pictures,0,1967
7530,Science Fiction,0.0,Twentieth Century Fox Film Corporation,0,1967
7537,Science Fiction,0.0,Universal Pictures,0,1967
7531,Science Fiction,0.0,Walt Disney Pictures,0,1967
7533,Science Fiction,0.0,Warner Bros.,0,1967
7562,Thriller,0.0,Columbia Pictures,0,1967
13,Thriller,1.0,Metro-Goldwyn-Mayer (MGM),1,1967
7565,Thriller,0.0,New Line Cinema,0,1967
7564,Thriller,0.0,Paramount Pictures,0,1967
7568,Thriller,0.0,Relativity Media,0,1967
7569,Thriller,0.0,Touchstone Pictures,0,1967
7560,Thriller,0.0,Twentieth Century Fox Film Corporation,0,1967
7567,Thriller,0.0,Universal Pictures,0,1967
7561,Thriller,0.0,Walt Disney Pictures,0,1967
7563,Thriller,0.0,Warner Bros.,0,1967
7632,War,0.0,Columbia Pictures,0,1967
7636,War,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7635,War,0.0,New Line Cinema,0,1967
7634,War,0.0,Paramount Pictures,0,1967
7638,War,0.0,Relativity Media,0,1967
7639,War,0.0,Touchstone Pictures,0,1967
7630,War,0.0,Twentieth Century Fox Film Corporation,0,1967
7637,War,0.0,Universal Pictures,0,1967
7631,War,0.0,Walt Disney Pictures,0,1967
7633,War,0.0,Warner Bros.,0,1967
7582,Western,0.0,Columbia Pictures,0,1967
7586,Western,0.0,Metro-Goldwyn-Mayer (MGM),0,1967
7585,Western,0.0,New Line Cinema,0,1967
7584,Western,0.0,Paramount Pictures,0,1967
